Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,Square Meters,Space utilization,Peak space utilization
Warehouse REIT,L39546,W10321,Spain,Zenith Marketing Group,75263430,79026602,71124,91%,100%
Warehouse REIT,L87923,W10529,Sweden,Serenity Salon & Spa,17469627,16770842,17945,61%,100%
Warehouse REIT,L34852,W10903,Portugal,Oasis Realty,32505133,30229774,32346,73%,75%
Warehouse REIT,L48146,W10027,UK,Moonlight Music Academy,55155096,56258198,51758,58%,90%
Warehouse REIT,L51436,W10123,Spain,Zenith Capital Management,23612801,25501825,24227,63%,84%
Warehouse REIT,L68179,W10256,Italy,Elemental Artistry,39522834,40708519,37452,80%,100%
Warehouse REIT,L46212,W10291,Portugal,Urban Fusion Architects,59804926,60402975,62215,60%,100%
Warehouse REIT,L38007,W10736,Sweden,Elemental Designs,11945721,13140293,14060,97%,100%
Warehouse REIT,L74770,W10659,Germany,EchoStar Communications,33387032,32051551,32693,49%,100%
Warehouse REIT,L76156,W10718,Sweden,Nexus Financial Group,92633202,95412198,97320,93%,100%
Warehouse REIT,L29738,W10875,Germany,Firefly Technologies,34721190,37846097,37846,67%,79%
Warehouse REIT,L72760,W10511,Sweden,Solaris Solutions,7674957,8058705,8381,69%,100%
Warehouse REIT,L17060,W10908,Netherlands,NovaTech Consulting,28269654,28835047,31430,58%,100%
Warehouse REIT,L53929,W10758,Germany,Thunderbird Aerospace,80894285,85747942,88320,55%,77%
Warehouse REIT,L85842,W10850,Italy,Serenity Yoga Studio,52085452,56252288,61315,85%,85%
Warehouse REIT,L45489,W10579,Portugal,Starlight Financial Services,52242997,57467297,55743,68%,100%
Warehouse REIT,L25505,W10531,UK,StellarTech Solutions,6259818,6322416,5880,85%,100%
Warehouse REIT,L13449,W10635,Russia,Aurora Engineering,81449176,82263668,83086,69%,100%
Warehouse REIT,L54902,W10729,UK,Solaris International,90213681,92017955,89257,66%,66%
Warehouse REIT,L26866,W10319,Italy,Proxima Logistics,75911594,76670710,75137,96%,100%
Warehouse REIT,L29765,W10697,Italy,OceanView Oil & Gas,89396989,90290959,90291,51%,72%
Warehouse REIT,L42162,W10700,Sweden,Zenith Zen Spa,23246302,25570932,25315,71%,78%
Warehouse REIT,L58910,W10705,Portugal,Crimson Catering,64161199,69935707,74132,76%,100%
Warehouse REIT,L39828,W10463,Italy,Golden Gate Catering,89940279,90839682,96290,88%,100%
Warehouse REIT,L72110,W10549,UK,Solaris International,97931165,99889788,91899,78%,100%
Warehouse REIT,L54220,W10245,Germany,Firefly Technologies,83821476,78792187,71701,70%,100%
Warehouse REIT,L37542,W10071,Netherlands,Pinnacle Painters,84656191,88889001,86222,85%,100%
Warehouse REIT,L84414,W10772,Sweden,Crystal Clear Pools,49507198,50992414,49463,100%,100%
Warehouse REIT,L10293,W10529,Sweden,Serenity Salon & Spa,61949245,64427215,59917,58%,100%
Warehouse REIT,L87076,W10335,Germany,Firefly Technologies,93994767,89295029,90188,51%,100%
Warehouse REIT,L61236,W10665,Netherlands,Horizon Healthcare Group,57605415,54149090,49817,71%,76%
Warehouse REIT,L69881,W10640,France,Unity Web Solutions,88411019,95483901,89755,66%,100%
Warehouse REIT,L73518,W10762,Spain,Elemental Eats Catering,85176613,92842508,90057,59%,98%
Warehouse REIT,L20965,W10957,Portugal,AquaTrek Adventures,8867318,8423952,9266,72%,100%
Warehouse REIT,L36427,W10988,Sweden,Nexus Financial Group,65144477,58630029,55699,83%,100%
Warehouse REIT,L33227,W10096,Spain,Horizon Law Firm,61044277,67148705,65806,100%,100%
Warehouse REIT,L83095,W10539,Netherlands,Sunbeam Technologies,89622935,82453100,88225,53%,95%
Warehouse REIT,L68923,W10609,Spain,Galaxy Graphics,15456553,16693077,18362,100%,100%
Warehouse REIT,L48011,W10780,Spain,Phoenix Fitness Center,37176791,34574416,33537,55%,98%
Warehouse REIT,L40051,W10550,France,Unity Web Solutions,95910724,92074295,90233,78%,100%
Warehouse REIT,L24848,W10537,Spain,Celestial Studios,64748248,68633143,64515,55%,100%
Warehouse REIT,L29313,W10929,Germany,EchoStar Communications,55941011,59856882,58660,64%,66%
Warehouse REIT,L22238,W10957,Portugal,AquaTrek Adventures,17600398,17952406,19748,79%,100%
Warehouse REIT,L76102,W10173,Germany,Atlas Logistics,36993519,39583065,38396,94%,100%
Warehouse REIT,L31499,W10150,Spain,Phoenix Fitness Center,54003829,54003829,57784,58%,100%
Warehouse REIT,L15879,W10786,Portugal,TerraFirm Landscaping,14988916,15438583,16828,77%,100%
Warehouse REIT,L79052,W10503,Netherlands,Celestial Travel Agency,59606689,56030288,54910,78%,100%
Warehouse REIT,L18288,W10063,UK,Alpine Adventures,53794123,52180299,54789,73%,95%
Warehouse REIT,L21459,W10112,Italy,SolarFlare Solar Panels,84601854,76141669,80710,89%,100%
Warehouse REIT,L29044,W10881,Netherlands,Pinnacle Painters,31189077,30253405,32674,93%,100%
Warehouse REIT,L21032,W10028,France,Elysian Fashion House,42511753,41661518,45411,79%,100%
Warehouse REIT,L89334,W10103,Italy,Golden Gate Catering,41891121,46080233,46080,99%,100%
Warehouse REIT,L64481,W10449,Netherlands,Sunbeam Technologies,8741614,8391949,8812,94%,100%
Warehouse REIT,L69821,W10677,Germany,Galactic Gaming Studios,13920091,14337694,14338,90%,100%
Warehouse REIT,L35271,W10361,France,LunaTide Productions,78819815,80396211,79592,75%,100%
Warehouse REIT,L13161,W10935,Netherlands,Horizon Healthcare Group,38043224,38043224,41467,66%,100%
Warehouse REIT,L60765,W10751,Italy,SilverLakes Realty,64597730,62659798,58274,52%,100%
Warehouse REIT,L44522,W10592,Sweden,Crystal Clear Pools,58989347,62528708,58777,100%,100%
Warehouse REIT,L87300,W10037,France,Tranquil Waters Spa,56965716,60953316,57906,55%,100%
Warehouse REIT,L42823,W10633,Portugal,Oasis Realty,70233553,73042895,72312,100%,100%
Warehouse REIT,L63564,W10249,Spain,Galaxy Graphics,49422418,52881987,49709,64%,82%
